Шаг температуры         Температура узла
---------------       -------------
      0                  30
  0.769                17.2
   1.54                8.67
   2.31                5.02
   3.08                 4.1
   3.85                   4
   4.62                   4
   5.38                   4
   6.15                   4
   6.92                   4
   7.69                   4
   8.46                   4
   9.23                   4
     10                   4
   10.8                   4
   11.5                   4
   12.3                   4
   13.1                   4
   13.8                   4
   14.6                   4
   15.4                   4
   16.2                   4
   16.9                   4
   17.7                   4
   18.5                   4
   19.2                   4
     20                   4
   20.8                   4
   21.5                   4
   22.3                   4
   23.1                   4
   23.8                   4
   24.6                   4
   25.4                   4
   26.2                   4
   26.9                3.99
   27.7                3.92
   28.5                3.64
   29.2                2.98
     30                   2
